Date,Open,High,Low,Volume,Close
2023-01-03 00:00:00-05:00,146.82488483945681,147.68710953044484,144.13040090977591,1686200,144.76727294921875
2023-01-04 00:00:00-05:00,146.22722257360894,148.1868475694725,146.0900494219286,1731300,146.83470153808594
2023-01-05 00:00:00-05:00,146.00183138005454,147.0600305011918,144.97304038380292,1542300,145.8744659423828
2023-01-06 00:00:00-05:00,147.5009218460345,150.80289912287972,147.001223006858,1589000,150.28359985351562
2023-01-09 00:00:00-05:00,148.6963002760974,152.24323075417246,148.58852033158342,1864500,149.4507598876953
2023-01-10 00:00:00-05:00,149.36258815306775,150.68532577653906,148.44156220666235,1275200,150.06805419921875
2023-01-11 00:00:00-05:00,151.04788492261895,155.37865398671656,150.8225173034667,1712500,155.2708740234375
2023-01-12 00:00:00-05:00,155.1728563916859,157.34804071466723,154.4967835682258,1627000,156.76016235351562
2023-01-13 00:00:00-05:00,156.36821657941655,158.8373473701895,155.96649001192336,1532600,158.51400756835938
2023-01-17 00:00:00-05:00,158.02412922786405,159.28809548871914,157.20109047008597,2570500,157.739990234375
2023-01-18 00:00:00-05:00,159.02353205533183,160.44425683563506,156.47601421077195,2188000,156.56419372558594
2023-01-19 00:00:00-05:00,155.24146451444759,158.67080759339322,155.05529778375634,2184900,157.7791748046875
2023-01-20 00:00:00-05:00,157.42644717193076,163.7756269609484,156.9267482598541,2330300,163.5404815673828
2023-01-23 00:00:00-05:00,162.64885728356188,166.37214736815497,161.7376389341769,2585400,165.60789489746094
2023-01-24 00:00:00-05:00,165.16693742616243,166.27411496317424,164.2067107771567,1644900,166.20553588867188
2023-01-25 00:00:00-05:00,164.23613635278386,169.44874507340427,164.23613635278386,1881500,168.85105895996094
2023-01-26 00:00:00-05:00,169.96804129124163,171.14381306395694,169.10580168090078,1620100,171.05563354492188
2023-01-27 00:00:00-05:00,170.97725050505954,173.00546919170856,170.50694477584003,1637000,170.81068420410156
2023-01-30 00:00:00-05:00,168.8804364824599,170.01702225691204,167.57728442307487,2041900,167.7438507080078
2023-01-31 00:00:00-05:00,167.98881294248656,170.70289715280478,167.36173367935066,1329100,170.6636962890625
2023-02-01 00:00:00-05:00,169.52712806371727,173.13283014564703,167.5576957753569,1456300,171.81988525390625
2023-02-02 00:00:00-05:00,173.03486773612005,173.9950796570488,171.48676242235737,1145500,172.61354064941406
2023-02-03 00:00:00-05:00,170.47754079336892,172.16281907953223,169.40953406556002,1504500,170.9086456298828
2023-02-06 00:00:00-05:00,169.23318175732692,170.4285539601304,168.25336945671745,1485900,168.8412628173828
2023-02-07 00:00:00-05:00,168.52770602779583,172.96625429863082,167.39112023617295,1808800,171.878662109375
2023-02-08 00:00:00-05:00,170.2129923616408,171.48675132988902,169.50752631617254,1520200,170.49713134765625
2023-02-09 00:00:00-05:00,172.0158508708444,174.0048687117166,170.7322991061263,1525300,171.36917114257812
2023-02-10 00:00:00-05:00,169.64470288443235,170.56572884865295,166.62687917324652,1544700,167.91043090820312
